,name,EAN_code,brand,price_in_pound,stars,number of reviews,Form,size,availablty,description
2493,Neutrogena Anti-Shine Cleansing Gel Lime 200ml,3574661039732,Neutrogena,4.60,0.0,0,Gel,200ml,In stock,Neutrogena Anti-Shine Cleansing Gel Lime 200ml is a gel for oily skin and shiny areas that eliminates excess sebum and matifies the skin for a long time.Its non-greasy formula rebalances the excess of sebum without drying out the skin.The skin is thus radiant with health. 
2494,Neutrogena Anti-Brilliance Lime Exfoliating Gel 150ml,3574661034805,Neutrogena,5.20,4.0, 1 ,Gel,150ml,In stock,"Neutrogena Anti-Brilliance Lime Exfoliating Gel 150ml is a care that dislodges sebum from pores and durably matifies the skin.Its exfoliating micro-balls of cellulose of natural origin, decongest pores while preserving the natural balance of the skin.Made in France. "
2495,Delarom Infini White Cream 50ml,3401563518358,Delarom,45.50,0.0,0,Cream,50ml,In stock,"Delarom Infini White Cream 50ml with rich and soft texture combines 5 plants with brightening virtues for an anti-spots action, an anti loss of radiance action of all skin types, even the sensitive ones.This cream acts to several levels of melanogenesis thanks to its active principles: sea fern extract, peas extract, hops extract, sophora extract, whu-zhu-yu extract, organic lemon water, kiwi extract, hyaluronic acid.This cream is a absolute product for the complexion defects, offering radiance to the complexion. Moisturized, the skin is protected against marks of aging.Dermatologically tested."
2496,Ducray Keracnyl Repair Lip Balm 15ml,3282770038521,Ducray,6.40,4.0, 1 ,Balm,15ml,In stock,"Ducray Keracnyl Repair Lip Balm 15ml with rich texture nourishes, repairs and protects cracked and damaged lips due to oral medicinal treatments.The hydroxydecine stimulates the production of natural factors of hydration. Vitamins E and F nourish and repair the lips that recover comfort and suppleness.Paraben-free. Fragrance-free. Dermatologically tested.Tolerance and efficiency proven on severe dryness."
2497,Weleda Redensifying Day Cream Evening Primrose 30 ml,3596202024120,Weleda,19.10,0.0,0,Cream,30 ml,In stock,"Weleda Redensifying Day Cream Evening Primrose 30 ml is a redensifying cream which supports the natural functions of your skin by protecting it from free radicals.This revitalising care with organic Evening Primrose allows to target the needs of mature skins, revives their radiance and gives them firmness.Evening Primrose favours the stimulation of the mature skin metabolism and reinforces their natural protective function.The structure of the skin is strengthened, wrinkles are blurred, and facial contours appear redefined. "
2498,Eye Care Smoothing Strengthener Nail Care 8ml,3532663008163,Eye,6.40,5.0, 1 ,Polish,8ml,In stock,"Eye Care Smoothing Strengthener Nail Care 8ml is a smoohing strengthener nail care especially developed for the sensitive skins and nails.This nail care is particularly effective for the damaged and bumpy nails. It contains oligo-elements as the Mca Titan, which habe a soothing effect, and also the vitamin E and Silicon which help to fortify the nails.Tested under dermatological control."
2499,Sanoflore Rosa Angelica Morning Re-Hydrating Concentrate 30ml,3337873401731,Sanoflore,22.70,0.0,0,Concentrate,30ml,Limited quantity: 1,"Sanoflore Rosa Angelica Morning Re-Hydrating Concentrate 30ml is a re-hydrating concentrate which allows to resource and re-plump your skin.Based on Organic Rosa Damascena of summer, this concentrate is the incarnation of the fresh beauty, of ultra-slippery-water-texture which penetrates instantly your skin at the application. Your skin is reborn and is radiant from the morning to the evening.Let you transport by the delicate fragrance of dew, the note of freshly cut grass, magnolia and peach.Paraben free.Organic cosmetic (COSMEBIO charter), resulting from organic farming, certified by ECOCERT. "
2500,Eau de Jonzac REhydrate Replenishing Moisturising Mask Organic 50ml,3517360001792,Eau,10.90,5.0, 3 ,Cream,50ml,In stock,"Eau de Jonzac REhydrate Replenishing Moisturising Mask Organic 50ml is a face mask intended for all skin types, even sensitive.Enriched with Jonzac thermal spring water and naturally occurring hyaluronic acid, this mask provides the skin with a hydration bath. Its pearly blue creamy texture infuses the epidermis to sustainably boost the skin's natural hydration. On contact with water, it turns into milk to facilitate rinsing. In a few minutes, the complexion is fresher, the skin is soothed and intensely replenished.Tested under dermatological control. Formulated to minimize the risk of allergic reactions. Hypoallergenic and non-comedogenic.Vegan. Cruelty-free for animals.Paraben-free, silicone-free, phenoxyethanol-free.99% of the total ingredients are of natural origin.20% of the total ingredients are of organic origin.Cosmos Organic certified by Ecocert Greenlife according to the COSMOS standard.Made in France. "
2501,Argiletz Ghassoul Clay Paste 150g,3326102000036,Argiletz,3.99,4.0, 4 ,Paste,150g,In stock,"Argiletz Ghassoul Clay Paste 150g is an oriental treatment ready-to-use. The ghassoul (cleansing product), used since the 17th century, has been used as a beauty treatment in the Middle East.It is to use on face and/or body to cleanse and purify the skin. It is clean, fresh and ultra-soft. Applied on the hair, it brings texture and volume. The hair is shiny, vigorous.Preservative free, ionisation free. "
2502,Natessance Complexion Tanned Carrot Oil 50ml,3517360007053,Natessance,4.50,4.0, 8 ,Oil,50ml,In stock,"Natessance Complexion Tanned Oil Carrot 50ml is formulated with carrot macerate and natural vitamin E.This oil is concentrated in Beta caroten and provitamin A. Its actives enable to nourish your skin and to give a natural tanned complexion instantly.The oil of carrot is ideal for the sunny days to give a stroke of brilliance on the face and the neck.This product is not a sunscreen, to use in conjonction with a sunscreen.Protection rating : 0.Dermatologically tested."
2503,Eau de Jonzac Reactive High Tolerance Light Emulsion 40ml,3517360001822,Eau,11.40,0.0,0,Emulsion,40ml,In stock,"Eau de Jonzac Reactive High Tolerance Light Emulsion 40ml with pleasant texture and with censorial fragrance immediately soothes, prevents and reduces sensitiveness of reactive to intolerant, normal to combination skins.The Eau Thermale de Jonzac offers soothing and anti-irritant properties. It blocks the inflammation responsible of unpleasant sensations. Phytosphingosine inhibits the liberation of inflammatory agents responsible of visible reactions on the skin.Results: we notice a reduction of reactions (-50%), an improvement of comfort (+30%), an improvement of hydration (+60%).Ecocert Organic certified. Hypoallergenic, fragrance-free, non-comedogenic.99% of the total ingredients are from natural origin.49% of the total ingredients are from organic origin. "
2504,Eau de Jonzac REhydrate Gentle Scrubbing Gel Organic 75ml,3517360003307,Eau,10.90,0.0,0,Cream,75ml,In stock,"Eau de Jonzac REhydrate Gentle Scrubbing Gel Organic 75ml is a scrubbing gel that gently exfoliates to smooth the skin and awaken the radiance of the complexion.Its refreshing gel formula gently removes dead cells and impurities. The skin texture is refined and the complexion is fresher.Formulated high tolerance, it takes care of all skin, even sensitive.Dermatologically tested. Formulated to minimize the risk of allergic reactions. Hypoallergenic and non-comedogenic.Paraben-free, silicone-free, phenoxyethanol-free.99% of total ingredients are of natural origin.20% of total ingredients are from organic farming.Cosmos Organic certified by Ecocert Greenlife according to the COSMOS standard.Made in France. "
2505,Rogé Cavaillès Nutrissance Ultra-Comfort Body Cream 350ml,3596490003890,Rogé,6.30,5.0, 1 ,Cream,350ml,In stock,"Rogé Cavaillès Nutrissance Ultra-Comfort Body Cream 350ml nourishes the sensitive and dry skin of the whole family.Enriched in vitamin-packed superfatting agents and shea butter its formula nourishes in depth and moisturizes for a suppler, softer and more comfortable skin. This cream with non greasy texture, paraben-free and hypoallergenic penetrates rapidly.97% of the total ingredients are from natural origin. Clinically tested."
2506,Talika Eyebrow Liposourcils Expert 10ml,3139431072007,Talika,27.30,5.0, 1 ,Gel,10ml,In stock,"Talika Eyebrow Liposourcils Expert 10ml stimulates the eyebrows growth, increases its density, intensity and the natural pigmentation.Its formula with a basis of 13 plants stimulates the natural eyebrows growth and restarts the melanin production. The anti-aging peptide expert strengthens the eyebrow storage.After the first days of use, results are visible: the eyebrows are elegant and restructured finely. Your face gets more character."
2507,Taaj Himalaya Micellar Water All Skins Types 2 x 500ml,3401525511069,Taaj,15.60,5.0, 4 ,Water,2 x 500ml,In stock,"Taaj Himalaya Micellar Water All Skins Types 2 x 500ml are micellar water with Himalaya natural water cleanses, gently removes make-up and impurities.Rich in Chamomile, Rosemary, and Green Tea with soothing and anti-irritant properties, its formula is adapted to the eye contour.The skin is clean, fresh, ready for the following care. It is supple and soft, and the complexion is radiant.Free from paraben, mineral oils, phenoxyethanol. "
2508,Talika Bio Enzymes Second Skin Brightening Mask 20g,3139436010004,Talika,6.30,5.0, 1 ,Mask,1 mask,In stock,"Talika Bio Enzymes Second Skin Brightening Mask 20g is a brightening mask that illuminates the complexion and evens the epidermis.Composed of cellulose produced by bio-enzymatic processes, it acts like a real ""second skin"". The three-dimensional structure retains a high concentration of active ingredients and optimizes their diffusion.Full of Aloe vera, it brightens the complexion. The epidermis is visibly more homogeneous.Wrinkles are smoothed, the complexion radiant and the epidermis plumped. "
2509,Armonia Helix Active Regenerating Cream Repairing Effect 50ml,8420649140059,Armonia,20.90,5.0, 2 ,Cream,50ml,In stock,"Armonia Helix Active Regenerating Cream Repairing Effect 50ml mild texture with snail slime concentrate and aloe vera has been developed for dry mature skins (deep wrinkles).Rich in allantoïn, collagen, elastin, glycolic acid, vitamins and enriched in aloe vera, the snail slime concentrate nourishes, moisturizes and reduces marks and restores the skin in depth. It brings comfort and well-being to your skin. Enriched of sun filters, it has anti-wrinkles and anti-marks properties and helps repair the cells.The snail slime concentrate extract results in a process that preserves the snail. Indeed, this animal is stimulated to secrete mucus. Then, the mucus is purified, concentrated and standardized.Paraben-free. "
2510,Docteur Valnet Organic Massage Oil Face & Body 100ml,3584410020065,Docteur,9.10,0.0,0,Oil,100ml,In stock,"Docteur Valnet Organic Massage Oil Face & Body 100ml is composed of 3 organic vegetable oils, to allow you to create your own massage oil with one or several essential oils. It is to use as a massage oil on face or body.Very rich in vitamin A, E, F, this massage oils contains:- jojoba oil that is similar to the skin collagen and is very rich in vitamin E. It is particularly advised for sensitive skins.- apricot kernel oil, rich in mineral salts and vitamin A. It helps to keep a supple skin and is ideal for sensitive skins too.- sunflower oil rich in essential fatty acids and vitamin E has a light smell of hazelnut.This massage oil allows an optimal penetration of essential oils through the cutaneous barrier and to nourish the epidermis while softening it and protecting it from external aggression.100% of the ingredients are from natural origin.Controlled proccess of fabrication and certified characteristics according to the I-305 reference ""produits cosmétiques biologiques et produits cosmétiques écologiques""."
2511,Payot Gelée Gommante Douceur Melting Exfoliating Gel 50ml,3390150541223,Payot,26.90,5.0, 1 ,Jelly,50ml,In stock,"Payot Gelée Gommante Douceur Melting Exfoliating Gel 50ml is an exfoliating melting gel with Papaya extracts.This exfoliating gel allows to eliminate gently, the dead cells of the skin and the impurities at the origin of the loss of radiance. It becomes an oil under the effect of massage and in fine emulsion at the contact of water. This gel leaves your skin soft and comfortable. This gel contains Papaya, a fruit with nutritive properties, rich in magnesium, potassium, fibers and carotene. At its application, your skin regains its velvety appearance and your complexion its brightness."
2512,Eye Care Growth Activator Nail Care 8ml,3532663008033,Eye,6.40,0.0,0,Polish,8ml,In stock,"Eye Care Growth Activator Nail Care 8ml is a growth activator care for sensitive skins and nails. This nail polish contains an innovating active composition T.D.C, silicium and calcium, and allows after 1 month of treatment to improve the natural growth of the nail. Tested under dermatologic control."
2514,Pur Aloé Organic Moisturising Pleasure Milk with Aloe Vera 30% 250ml,3464660000812,Pur,10.90,4.0, 3 ,Milk,250ml,In stock,"Pur Aloé Organic Moisturising Pleasure Milk with Aloe Vera 30% 250ml is a moisturizing body milk based on Native Organic aloe vera juice, the pulp of which is extracted from the fresh leaf, produced without powder, not heated.It combines the moisturizing, astringent and refreshing properties of aloe vera with the nourishing properties of organic sweet almond oil and beeswax.It respects the pH of the skin and strengthens the natural and protective lipid film of the epidermis.99.13% of the total ingredients are of natural origin.32.09% of the total ingredients are from organic farming.Sulphate free.OperAequa Fair Trade Certified by Bioagricert Srl.Ecological and Organic Cosmetics certified by Ecocert Greenlife according to the Ecocert standard.Made in France. "
2515,Pur Aloé Organic Rosée 76% of Aloe Vera 250ml,3464660000836,Pur,11.80,4.0, 1 ,Solution,250ml,In stock,"Pur Aloé Organic Rosée 70% of Aloe Vera 250ml is a solution based on real Alive Aloe vera juice (pulp extracted from the leaf, aloe vera not heated and not made from powder) Organic and organic rose water.This product is not just a mineral water spray, it is mainly made of aloe vera, a plant that can live in desert areas thanks to its exceptional ability to retain water in its fleshy pulp.Aloe Vera is therefore particularly recommended for maintaining the hydration of the skin. With regular spraying, the skin regains its consistency and wrinkles are reduced.98.09% of the total ingredients are of natural origin.96% of the total ingredients are from organic farming.OperAequa Fair Trade Certified by Bioagricert Srl.Cosmos Organic controlled by Cosmécert according to the COSMOS standard.Made in France. "
2516,SkinCeuticals Correct Metacell Renewal B3 50ml,3606000495470,SkinCeuticals,79.10,4.0, 2 ,Emulsion,50ml,In stock,"SkinCeuticals Correct Metacell Renewal B3 50ml is a multi-corrective emulsion with anti-aging properties, acting on the wrinkles, non homogeneous complexion, skin texture and loss of elasticity.This emulsion is efficient thanks to its unique cocktail of active ingredients: 5% niacin-amide, 2,5% firming tripeptide concentrate, 15% glycerin.With a daily application, the results are clearly visible:- the barrier function of the skin is strengthened,- the cell renewal is regenerated,- the complexion is more homogeneous,- the redness are clearly less visible,- the hydration is optimised,- firmness and elasticity are restored.The clinical study realised during 12 weeks on 56 women between 40 and 55 years old reveals the improvement of 15% on the clarity and radiance of the complexion, 20,9% on the wrinkles and 10,9% on the firmness."
2517,Taaj Himalaya Cleansing Oil 200ml,3401381500931,Taaj,17.20,0.0,0,Oil,200ml,In stock,"Taaj Himalaya Cleansing Oil 200ml removes only in one gesture marks of make-up and impurities provided by pollution.Efficient thanks to the synergy of its active botanical oils: rose oil, castor oil, grape seed oil, olive oil, hazel nut oil, this cleansing oil acts gently without drying the skin.Deliciously mild, its texture turns into a milk when in contact with water, for an optimal cleansing.Results: the skin is clean, soft, soothed.Without paraben, phenoxyethanol, mineral oils. "
2518,Biotherm Blue Therapy Accelerated Serum 50ml,3614270963186,Biotherm,60.90,5.0, 1 ,Serum,50ml,In stock,"Biotherm Blue Therapy Accelerated Serum 50ml is a repairing serum which acts on the visible signs of ageing : wrinkles, stains, firmness. It is ideally formulated for all types of skins.This repairing serum makes your skin instantly softer and more beautiful thanks to its formula concentrated in Youth algae extract. It acts effectively on the 3 main signs of ageing which are wrinkles, stains and cutaneous looseness. After 4 weeks of use, wrinkles and stains are reduced in a significant way, your skin seems more radiant and more luminous."
2519,Lierac Premium Silky Cream Absolute Anti-Aging 50ml,3508240005085,Lierac,81.90,4.0, 1 ,Cream,50ml,In stock,"Lierac Premium Silky Cream Absolute Anti-Aging 50ml with light texture is a care cream specially created to act against deep wrinkles, loss of density, skin sagging, complexion irregularities, marks, on pores and skin texture.Inspired by the regenerating medicine, this cream is composed of hyaluronic acid (5%), for an intense and immediate replumping effect. The Premium Cellular complex (8,5%)(hexapeptide FX, Terpenoïde, extracts of rare black flowers), acts on the signs of aging, to reveal the radiance and youth of the complexion. Enriched of a highly moisturising concentrate, it moisturises and matifies the skin.Results after 4 weeks of use:- wrinkles are less deep and less visible,- the skin is replumped and denser,- the complexion is radiant and marks are less visible,- pores are tightened and the skin texture is finer.Tested under dermatological control, non comedogenic, paraben-free. "
2520,Armonia Helix Active Hands Cream 2 x 75ml,8420649020887,Armonia,11.60,5.0, 6 ,Cream,2 x 75ml,In stock,"Armonia Helix Active Hands Cream 2 x 75ml concentrated formula combines the organic certified snail slime extract with aloe vera and calendula to nourish and repair dry and damaged hands.Highly nutritive, its formula activates the regenerative function of the skin, repairs in depth and reduces the imperfections.Its non greasy texture penetrates easily and does not contain paraben. "
2521,Laino Moisturizing Radiance Fluide Light Texture 50ml,3518646026416,Laino,11.40,5.0, 3 ,Fluid,50ml,In stock,"Laino Moisturizing Radiance Fluide Light Texture 50ml is a moisturizing fluid specially formulated for the sensitive skins based of white tea leaf.This fluid provides to your skin suppleness, radiance and calming. It moisturizes and smoothes the fine lines of dehydration thanks to its extract of apple pulp. It contains myrtle extract which protects your skin from the first signs of ageing. The extract of white tea leaf reveals the radiance of the complexion while correcting the cutaneous imperfections. This fluid contains more than 95% of ingredients of natural origin. Formulated with paraben free. Hypoallergenic. Tested under dermatologic control."
2523,Mavala Rejuvenating Mask for Hands 75ml,7618900923010,Mavala,20.50,0.0,0,Cream,75ml,In stock,"Mavala Rejuvenating Mask for Hands 75ml is a weekly care for the fragile hands. This rejuvenating mask is rich in active ingredients which encourage cellular renewal, gently remove impurities while maintaining an optimal moisturizing. It acts effectively on the rough and dry hands.After a few utilization, your hands will recover their softness and suppleness."
2524,Alliance Bio-Taches Mask 100ml,3760054880030,Alliance,19.10,4.0, 4 ,Mask,100ml,In stock,"Alliance Bio-Taches Mask 100ml is a depigmenting peel-off mask, which aims to act on brown spots on the face and neck and limit their reappearance.It also allows you to perform a gentle exfoliation of the skin and remove dead cells. By lightening the skin tone, the skin appears fresher and naturally clean.Without perfume.Made in France. "
2525,Juvaflorine Natural Purifying Mask with Green Clay 300g,3160920402005,Juvaflorine,4.40,5.0, 1 ,Paste,300g,In stock,"Juvaflorine Natural Purifying Mask with Green Clay 300g from natural origin is ideal to purify the face, body and hair and provide to the skin all the benefit from the green clay.The green clay is known for its absorbing power, removes all the impurities, the sebum excess and the residues of make-up.With a regular application, the skin is healthy and balanced.Without paraben, peg, phenoxyethanol."
2526,Sampar Age Antidote First Hand Cream 50ml,3443551143401,Sampar,23.60,0.0,0,Cream,50ml,In stock,"Sampar Age Antidote First Hand Cream 50ml anti-aging formula replumps the hands, reduces the appearance of wrinkles and pigment marks on hands of women (over 35 years old).- The Bdellium extract, resin similar to the perfumed myrtle maintains the skin tone and repulmps the hands.- The encapsulated hyaluronic acid targets the wrinkles in depth and guarantees a smoothing and anti-wrinkles action durably.- The vitamin B3 preserves the skin hydration and reduces the intensity of pigment marks.- The Urban Advance complex combines a shea butter serum, mint, endorphin and a sugared probiotic. This association forms a real antioxidant shield that neutralizes the cutaneous unbalances linked to pollution, strengthens the natural defenses of the skin and reactivates the cells energy.Results: the hands recover volume and density, they appear younger.Paraben-free."
2527,Caudalie Moisturizing Mask 75ml,3522930001782,Caudalie,21.90,5.0, 1 ,Cream,75ml,In stock,"Caudalie Moisturizing Mask 75ml is a moisturizing mask for the face adapted to all types of skins, and which provides an intense moisturizing to the dry skins.This moisturizing mask contains several actives and ingredients which act effectively as:- Fortifying and soothing active, Vinolevure which soothes the skin and removes redness.- Nourishing active, Grape seed oil nourishes the skin in depth.- Moisturizing active, Hyaluronic Acid re-moisturizes the skin intensely, even dry skin.At its application, the skin is soft, supple and intensely resourced. "
2529,Noreva Norelift Chrono-Filler Intensive Firming Anti-Wrinkle Serum 15ml,3401381575922,Noreva,33.60,0.0,0,Serum,15ml,In stock,"Noreva Norelift Chrono-Filler Intensive Firming Anti-Wrinkle Serum 15ml is an anti-wrinkles care in form of a serum which allows to smooth and to remove the wrinkles and fine line while unifying the complexion. This care is highly concentrated in Elastigene, the fibroplast youth activator which will act as a powerful booster. It rejuvenate, repair and stimulate the epidermal cells innate anti-aging action. It contains the Skincera Mix Trio, BPM reticulated hyaluronic acid and active ingredients with a similar effect which will smooth instantly your face, removing the wrinkles and fine lines and while offering you a luminous complexion.Formulated with paraben free."
2530,Talika Eye Detox Specific Olive to Dark Skins 15ml,3139438550362,Talika,25.50,0.0,0,Gel,15ml,In stock,"Talika Eye Detox Specific Olive to Dark Skins 15ml is the first anti-dark circle treatment adapted for the olive to dark skins. It allows to smooth, sooth and moisturize the dark circles.This anti-dark circle care is specially developed in order to fight against dark circles already installed or inherited from dark to dark skin. It contains a natural active of Chromadetox, an extract of brown seaweed, which is associated to the vitamin B3 and which attacks the causes of dark circles at 360° in order to give a bright look.The results are visible, dark circles are clarified and the eye contour is soothed, the skin is visibly ""smoothed"" and hydrated."
2531,Compeed Blisters Assortment 5 Plasters,3574660720242,Compeed,5.99,0.0,0,Sticking plasters,5 plasters,In stock,"Compeed Blisters Assortment 5 Plasters acts like a second skin on the blisters to:- protect from rubbing with a cushion effect,- alleviate the pain instantly,- help the skin heal quicker.The hydro-colloidal technology is constituted of a particles gel absorbing the humidity.The box contains:- 2 plasters for the heel.- 2 plasters for the side of the thumb.- 1 plaster for a finger of the foot."
2532,Jowaé Oxygenating Exfoliating Cream 75ml,3664262000863,Jowaé,9.10,0.0,0,Cream,75ml,In stock,"Jowaé Oxygenating Exfoliating Cream 75ml is a cream that gently exfoliates, smoothes, removes, dead cells and pollution. This exfoliating contains antioxidant Lumiphenols and imperial peony. Skin feels like it can breathe again. The complexion looks radiant. Contains 96% of ingredients from natural origin. Tested under dermatological control."
2533,Payot Les Démaquillantes Express Micellar Water 400ml Special Offer,3390150577901,Payot,16.30,0.0,0,Water,400ml,In stock,"Payot Les Démaquillantes Express Micellar Water 400ml Special Offer is a fresh cleansing water for face and eyes with Raspberry extracts. It is suitable for all skin types.This micellar water is formulated with Raspberry, Micelles and Hyaluronic Acid extracts. It cleanses and removes impurities and make-up from your skin in a single step. It helps maintain the skin's balance to preserve its youthfulness.Its water texture removes make-up from your skin to leave it clean and refreshed in an instant.After use, the face, eyes and neck are perfectly cleansed, as if wrapped in a veil of freshness and a real feeling of comfort.Tested under dermatological control.Made in France. "
2534,Comptoir des Huiles The Organic Day Cream 50ml,3770009060561,Comptoir,14.20,0.0,0,Cream,50ml,In stock,"Comptoir des Huiles The Organic Day Cream 50ml is a facial care with an exceptional concentration of Baobab oil. It offers to all skin types an optimal hydration for an immediate comfort. Its content in fatty acids and vitamin E helps to fight against all forms of aggressions responsible for premature skin aging. It also offers a smoothing action. Its fine and light texture moisturizes, softens and protects the skin. On contact, it is quickly absorbed for a ""peachy skin"" finish. Nourished skin appears plumped up, smoother and more luminous. Its aromatic notes of tangerine and yuzu leave a fresh and delicate fragrance that is very pleasant in the early morning.Cosmos Organic certified by Ecocert Greenlife according to the Cosmos standard.99.2% of the total ingredients are of natural origin.82.5% of the total ingredients are organically grown.Vegan.Made in France. "
2535,Comptoir des Huiles Le Ximénia Vegetable Oil 100ml,3770009060844,Comptoir,13.60,0.0,0,Oil,100ml,In stock,"Comptoir des Huiles Le Ximénia Vegetable Oil 100ml is a 100% pure and natural oil, known for its very nutritive and repairing virtues. Its virtues make it a very good base for any repairing care. Used on the body, it will help to deeply repair damaged tissues. Its film-forming action keeps the skin hydrated. This film will also play a protective role by creating a barrier to repel external aggressions. The epidermis is restructured and the skin appears softer, smoother and protected.Applied to the hair, it restores strength and vitality to dull, lifeless hair thanks to its vitamins and nutrients. It will form a protective film around the hair to nourish, protect and restore shine.To increase its effectiveness, it can be mixed with other vegetable oils or essential oils.Cosmos Natural certified by Ecocert Greenlife according to the Cosmos standard.100% of the total ingredients are of natural origin.Vegan.Made in France. "
2536,Comptoir des Huiles Le Moringa Oleifera Organic Vegetable Oil 50ml,3770009060868,Comptoir,11.80,0.0,0,Oil,50ml,In stock,"Comptoir des Huiles Le Moringa Oleifera Organic Vegetable Oil 50ml is a soothing, protective and antioxidant oil, 100% pure and natural, rich in vitamins A, B, C and E. It is ideal for sensitive, tight skin and dull complexion. Rich in antioxidants, it helps to fight against premature skin ageing and replenishes the tissues by nourishing them and helps to maintain a firm skin. It is also a very good daily facial cleanser. It is very effective in protecting the skin against external aggressions and rid it of pollution. Used daily, it leaves a clean, radiant complexion and soothed skin.Applied to the hair, it will form a film around the hair fibre to protect it from external aggressions from the roots to the ends.Cosmos Organic certified by Ecocert Greenlife according to the Cosmos standard.100% of the total ingredients are of natural origin.100% of the total ingredients are organically grown.Vegan.Made in France. "
2537,Comptoir des Huiles Le Ricin Organic Vegetable Oil 100ml,3770009060813,Comptoir,8.10,0.0,0,Oil,100ml,In stock,"Comptoir des Huiles Le Ricin Organic Vegetable Oil 100ml is a regenerating, plumping and fortifying oil, 100% pure and natural with multiple virtues. The ricinoleic acid it contains naturally purifies the skin. It also has a softening effect on sensitive and irritated skin. It restores strength to nails, eyelashes and hair by its toning action and promotes their growth. It is also an excellent repairing agent for damaged skin (chapped, cracked, etc.). Used on the face, it restores radiance.Cosmos Organic certified by Ecocert Greenlife according to the Cosmos standard.100% of the total ingredients are of natural origin.100% of the total ingredients are organically grown.Vegan.Made in France. "
2538,Melvita Nectar Pur Mask & Scrub 75ml,3284410042103,Melvita,14.50,0.0,0,Mask,75ml,In stock,"Melvita Nectar Pur Mask & Scrub 75ml with innovative texture is the indispensable weekly step of a purifying and rebalancing ritual care, ideal for combination to oily skin.This mask and scrub, mud effect, combines the power of rebalancing peppermint essential oil with an absorbent powder.- Mask: it eliminates excess sebum and purifies the skin without drying it.- Scrub: exfoliating particles help to unclog pores and refine the skin texture.Results: the skin is clean and soft, the production of sebum is regulated, the skin is clean.99% of the total ingredients are from natural origin.12% of the total ingredients are from organic farming. "
2539,Tadé Rose Scented Hand Cream 75ml,3593290022533,Tadé,6.60,0.0,0,Cream,75ml,In stock,"Tadé Rose Scented Hand Cream 75ml is a cream for the hands and gently fragranced with rose.This cream has a vegetable formula, based on olive and sweet almond, developed with the only essential ingredients rich in antioxidant, trace-elements, essential fatty acids and vitamins.This cream helps to maintain gentleness while providing a gentle springtime freshness to your hands. The skin of your hands finds their suppleness and firmness.It protects effectively the mature skins and those who are subject to the nuisance of everyday life.Its creamy texture spreads easily on the hands by light massages.Paraben free, dye free. "
2540,Tadé Argan Blossom Hand Cream 75ml,3593290026074,Tadé,6.60,0.0,0,Cream,75ml,In stock,"Tadé Argan Blossom Hand Cream 75ml is a cream for the hands and gently fragranced with argan blossom and honey. This cream has a vegetable formula, based on olive and sweet almond, developed with the only essential ingredients rich in antioxidant, trace-elements, essential fatty acids and vitamins. This cream helps to maintain gentleness while providing a gentle springtime freshness to your hands. The skin of your hands finds their suppleness and firmness.It protects effectively the mature skins and those who are subject to the nuisance of everyday life.Its creamy texture spreads easily on the hands by light massages.Formulated with paraben free, dye free. "
2541,La Chênaie Smoothing Eye Treatment 15 ml,3760242400033,La Roche-Posay,35.50,0.0,0,Cream,15 ml,In stock,"La Chênaie Smoothing Eye Treatment 15 ml is a care product with oak tree plant extract (patent pending) formulated to effectively and safely treat the vulnerable area around the eyes thanks to vine and red algae extracts. From the first application, it offers a significant smoothing and anti-wrinkle effect. After 28 days, the volume of puffiness is considerably reduced. The eye contour area is visibly relaxed, as lifted.Its metal tip allows a hygienic and precise application combined with an immediate fresh effect. It also offers very good skin tolerance.Tested under dermatological and ophthalmological control.Parabens-free. Perfume-free.Made in France. "
2543,Melvita Nectar Pur Mattifying Fluid 40ml,3284410042080,Melvita,15.80,0.0,0,Fluid,40ml,In stock,"Melvita Nectar Pur Mattifying Fluid 40ml with fresh and light texture is specially formulated for combination to oily skin, to moisturize, purify and mattify.The essential oil of peppermint is a pure expression of nature whose rebalancing effectiveness is scientifically proven. This care is enriched with essential oil of peppermint in a fresh and light formula with powdery finish.Immediately, it moisturizes the skin while mattifying for 8 hours. From the first week, the excess of sebum is rebalanced, the appearance of the imperfections is diminished and the pores are less visible. The skin is clearer, as transformed.Non-comedogenic. Tested under dermatological control.99% of the total ingredients are from natural origin.20% of the total ingredients are from organic farming. "
2544,Darphin Elixir Aromatic Renewing Balm 15ml,882381074708,Darphin,45.50,0.0,0,Balm,15ml,In stock,"Darphin Elixir Aromatic Renewing Balm 15ml is a subtle blend of essential oils from citrus fruits and flowers that work synergistically in this 100% natural care with fruity scents and precious texture.Developed for dull, tired and sensitive skin, subject to dehydration, its revitalizing formula works at 3 levels, soothing, nourishing and helping to visibly repair the skin barrier.Comforted, softened and strengthened, the skin regenerates and regains its natural radiance.100% of the ingredients are from natural origin.Paraben-free. Not comedogenic. Dermatologically tested."
2545,Incarose Extra Pure Exclusive Silver Mask Illuminating Energising Treatment 25ml,8002712024369,Incarose,5.99,0.0,0,Mask,25ml,In stock,"Incarose Extra Pure Exclusive Silver Mask Illuminating Energising Treatment 25ml is a single use mask ideal to promote the radiance of the complexion, in case of dull complexion.This mask is composed of 3 layers which, thanks to a sauna effect, make it possible to transmit to the skin the functional substances of which it is enriched.Soaked in a serum containing vitamin C and hyaluronic acid with illuminating and moisturizing properties, the formula is enriched by the presence of extracts of Morus alba, green tea, a raspberry derivative with antioxidant and restructuring action.This mask brings radiance to the skin, offers a velvety effect.Tested under dermatological control."
